store,id,brand,title,price_usd,sku,in_stock,image,local_image_path,store_url
Crist Fragrances,cf_10185653879059,Xerjoff,XERJOFF  Unisex Erba Pura EDP Spray 1.7 oz (50ML),125.0,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/erba-puraeau-de-parfumfragrance-nevaeh-974649_jpg.webp?v=1762524102,imagenes_perfumes\crist_fragrances\cf_10185653879059_XERJOFF_Unisex_Erba_Pura_EDP_Spray_1.7_oz_(50ML).webp,https://wholesale.cristfragances.com/products/xerjoff-unisex-erba-pura-edp-spray-1-7-oz
Crist Fragrances,cf_10178054750483,Lattafa,Lattafa Asad Elixir EAU DE PARFUM 100 ML,25.95,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/ASADELIXIRBOTTLE_2_png.webp?v=1762055232,imagenes_perfumes\crist_fragrances\cf_10178054750483_Lattafa_Asad_Elixir_EAU_DE_PARFUM_100_ML.webp,https://wholesale.cristfragances.com/products/lattafa-asad-elixir-eau-de-parfum-100-ml
Crist Fragrances,cf_10178054652179,Lattafa,Lattafa Yara Elixir EAU DE PARFUM 100 ML,24.99,,False,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/YaraElixirBottlebox_png.webp?v=1762055093,imagenes_perfumes\crist_fragrances\cf_10178054652179_Lattafa_Yara_Elixir_EAU_DE_PARFUM_100_ML.webp,https://wholesale.cristfragances.com/products/lattafa-yara-elixir-eau-de-parfum-100-ml
Crist Fragrances,cf_10198958768403,Crist Fragances - Wholesale,LV Ombre Nomade 100 ml,520.0,,False,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/louis-vuitton-ombre-nomade--LP0095_PM2_Front_view_png.avif?v=1762782812,imagenes_perfumes\crist_fragrances\cf_10198958768403_LV_Ombre_Nomade_100_ml.avif,https://wholesale.cristfragances.com/products/ombre-nomade
Crist Fragrances,cf_10176358187283,Lattafa,Ameer Al Oudh Intense Oud Eau de Parfum Spray 100ml (3.4 oz) by Lattafa,16.5,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/AmeerAlOudhIntenseOudByLattafaEauDeParfumSpray3_4Oz_54df8eec-df90-4b68-ac6d-3ad35217c9be_jpg.webp?v=1761835048,imagenes_perfumes\crist_fragrances\cf_10176358187283_Ameer_Al_Oudh_Intense_Oud_Eau_de_Parfum_Spray_100ml_(3.4_oz)_by_Lattafa.webp,https://wholesale.cristfragances.com/products/ameer-al-oudh-intense-oud-eau-de-parfum-spray-100ml-3-4-oz-by-lattafa
Crist Fragrances,cf_10177720353043,Versace,Dylan Blue by Versace for Men 3.4 oz EDT 3pc Gift Set,70.0,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/WhatsAppImage2025-11-01at10.51.13.jpg?v=1762008714,imagenes_perfumes\crist_fragrances\cf_10177720353043_Dylan_Blue_by_Versace_for_Men_3.4_oz_EDT_3pc_Gift_Set.jpg,https://wholesale.cristfragances.com/products/dylan-blue-by-versace-for-men-3-4-oz-edt-3pc-gift-set
Crist Fragrances,cf_10185657319699,Crist Fragances - Wholesale,BACK STREET OF NEW YORK 85 ML,22.0,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/Back-Street--2048x2048.jpg?v=1762525354,imagenes_perfumes\crist_fragrances\cf_10185657319699_BACK_STREET_OF_NEW_YORK_85_ML.jpg,https://wholesale.cristfragances.com/products/back-street-of-new-york-85-ml
Crist Fragrances,cf_10177298465043,Maison Alhambra,Yeah! Parfum Maison Alhambra for men,16.5,,False,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/images-7.jpg?v=1761938781,imagenes_perfumes\crist_fragrances\cf_10177298465043_Yeah!_Parfum_Maison_Alhambra_for_men.jpg,https://wholesale.cristfragances.com/products/yeah-parfum-maison-alhambra-for-men
Crist Fragrances,cf_10182020301075,Crist Fragances - Wholesale,Mandora Stallion 53 3.4 oz for men,16.5,,False,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/MANDORA-STALLION53_1000x_webp.jpg?v=1762352055,imagenes_perfumes\crist_fragrances\cf_10182020301075_Mandora_Stallion_53_3.4_oz_for_men.jpg,https://wholesale.cristfragances.com/products/mandora-stallion-53-3-4-oz-for-men
Crist Fragrances,cf_10177722056979,Crist Fragances - Wholesale,(TESTER)  Ladies  Queen Of Silk EDP Spray 2.5 oz (Without lid New),242.0,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/creed-ladies-creed-queen-of-silk-edp-spray-25-oz-tester-fragrances-3508440251855.jpg?v=1762009426,imagenes_perfumes\crist_fragrances\cf_10177722056979_(TESTER)_Ladies_Queen_Of_Silk_EDP_Spray_2.5_oz_(Without_lid_New).jpg,https://wholesale.cristfragances.com/products/creed-ladies-queen-of-silk-edp-spray-2-5-oz
